,href,address,price,space
0,https://www.immobiliare.it/68775213-Affitto-Monolocale-via-Giovanni-Pierluigi-da-Milano.html,"via Giovanni Pierluigi da Palestrina 18, Centrale, Milano",500,25
1,https://www.immobiliare.it/68772565-Affitto-Bilocale-piazza-Cinque-Giornate-4-Milano.html,"piazza Cinque Giornate, 4, Guastalla, Milano",1080,70
2,https://www.immobiliare.it/68774701-Affitto-Bilocale-via-Tertulliano-58-Milano.html,"via Tertulliano, 58, Lodi - Brenta, Milano",650,50
3,https://www.immobiliare.it/68772291-Affitto-Bilocale-piazza-V-Giornate-Milano.html,"piazza V Giornate, Guastalla, Milano",1542,65
4,https://www.immobiliare.it/68772287-Affitto-Trilocale-piazza-V-Giornate-Milano.html,"piazza V Giornate, Guastalla, Milano",2760,140
5,https://www.immobiliare.it/68773935-Affitto-Bilocale-via-CIMAROSA-Milano.html,"via CIMAROSA, Vercelli - Wagner, Milano",850,64
6,https://www.immobiliare.it/68772633-Affitto-Bilocale-via-Ronchi-22-Milano.html,"via Ronchi, 22, Udine, Milano",1000,65
7,https://www.immobiliare.it/68772583-Affitto-Appartamento-corso-Di-Porta-Vittoria-47-Milano.html,"corso Di Porta Vittoria, 47, Guastalla, Milano",4200,200
8,https://www.immobiliare.it/68772637-Affitto-Bilocale-viale-Monza-2-Milano.html,"viale Monza, 2, Pasteur, Milano",800,45
9,https://www.immobiliare.it/68772647-Affitto-Bilocale-via-Rogoredo-100-Milano.html,"via Rogoredo, 100, Santa Giulia, Milano",590,65
10,https://www.immobiliare.it/68772563-Affitto-Bilocale-via-San-Marco-28-Milano.html,"via San Marco, 28, Moscova, Milano",2050,55
11,https://www.immobiliare.it/68772607-Affitto-Bilocale-via-San-Marco-28-Milano.html,"via San Marco, 28, Moscova, Milano",2050,55
12,https://www.immobiliare.it/68772599-Affitto-Appartamento-piazza-Cinque-Giornate-1-A-Milano.html,"piazza Cinque Giornate, 1-A, Guastalla, Milano",2670,150
13,https://www.immobiliare.it/68772605-Affitto-Appartamento-viale-Cassala-61-Milano.html,"viale Cassala, 61, San Vittore, Milano",2400,140
14,https://www.immobiliare.it/68772601-Affitto-Appartamento-piazza-Cinque-Giornate-1-A-Milano.html,"piazza Cinque Giornate, 1-A, Guastalla, Milano",2500,150
15,https://www.immobiliare.it/68772631-Affitto-Monolocale-via-San-Marco-55-Milano.html,"via San Marco, 55, Moscova, Milano",1100,40
16,https://www.immobiliare.it/68772621-Affitto-Quadrilocale-via-Valtellina-48-Milano.html,"via Valtellina, 48, Farini, Milano",1500,110
17,https://www.immobiliare.it/68772615-Affitto-Appartamento-piazza-Venino-4-Milano.html,"piazza Venino, 4, San Vittore, Milano",1800,130
18,https://www.immobiliare.it/68772617-Affitto-Appartamento-via-Anco-Marzio-4-Milano.html,"via Anco Marzio, 4, San Vittore, Milano",1800,135
19,https://www.immobiliare.it/68772603-Affitto-Appartamento-piazza-Cinque-Giornate-1-A-Milano.html,"piazza Cinque Giornate, 1-A, Guastalla, Milano",2420,140
20,https://www.immobiliare.it/68774143-Affitto-Monolocale-largo-Giambellino-Milano.html,"largo Giambellino, Giambellino, Milano",560,45
21,https://www.immobiliare.it/68772645-Affitto-Monolocale-via-Scipione-Pistrucci-15-Milano.html,"via Scipione Pistrucci, 15, Martini - Insubria, Milano",650,35
22,https://www.immobiliare.it/68774755-Affitto-Bilocale-viale-Bligny-64-Milano.html,"viale Bligny 64, Bocconi, Milano",970,50
23,https://www.immobiliare.it/68775213-Affitto-Monolocale-via-Giovanni-Pierluigi-da-Milano.html,"via Giovanni Pierluigi da Palestrina 18, Centrale, Milano",500,25
24,https://www.immobiliare.it/68772565-Affitto-Bilocale-piazza-Cinque-Giornate-4-Milano.html,"piazza Cinque Giornate, 4, Guastalla, Milano",1080,70
25,https://www.immobiliare.it/68774701-Affitto-Bilocale-via-Tertulliano-58-Milano.html,"via Tertulliano, 58, Lodi - Brenta, Milano",650,50
26,https://www.immobiliare.it/68772291-Affitto-Bilocale-piazza-V-Giornate-Milano.html,"piazza V Giornate, Guastalla, Milano",1542,65
27,https://www.immobiliare.it/68772287-Affitto-Trilocale-piazza-V-Giornate-Milano.html,"piazza V Giornate, Guastalla, Milano",2760,140
28,https://www.immobiliare.it/68773935-Affitto-Bilocale-via-CIMAROSA-Milano.html,"via CIMAROSA, Vercelli - Wagner, Milano",850,64
29,https://www.immobiliare.it/68772633-Affitto-Bilocale-via-Ronchi-22-Milano.html,"via Ronchi, 22, Udine, Milano",1000,65
30,https://www.immobiliare.it/68772583-Affitto-Appartamento-corso-Di-Porta-Vittoria-47-Milano.html,"corso Di Porta Vittoria, 47, Guastalla, Milano",4200,200
31,https://www.immobiliare.it/68772637-Affitto-Bilocale-viale-Monza-2-Milano.html,"viale Monza, 2, Pasteur, Milano",800,45
32,https://www.immobiliare.it/68772647-Affitto-Bilocale-via-Rogoredo-100-Milano.html,"via Rogoredo, 100, Santa Giulia, Milano",590,65
33,https://www.immobiliare.it/68772563-Affitto-Bilocale-via-San-Marco-28-Milano.html,"via San Marco, 28, Moscova, Milano",2050,55
34,https://www.immobiliare.it/68772607-Affitto-Bilocale-via-San-Marco-28-Milano.html,"via San Marco, 28, Moscova, Milano",2050,55
35,https://www.immobiliare.it/68772599-Affitto-Appartamento-piazza-Cinque-Giornate-1-A-Milano.html,"piazza Cinque Giornate, 1-A, Guastalla, Milano",2670,150
36,https://www.immobiliare.it/68772605-Affitto-Appartamento-viale-Cassala-61-Milano.html,"viale Cassala, 61, San Vittore, Milano",2400,140
37,https://www.immobiliare.it/68772601-Affitto-Appartamento-piazza-Cinque-Giornate-1-A-Milano.html,"piazza Cinque Giornate, 1-A, Guastalla, Milano",2500,150
38,https://www.immobiliare.it/68772631-Affitto-Monolocale-via-San-Marco-55-Milano.html,"via San Marco, 55, Moscova, Milano",1100,40
39,https://www.immobiliare.it/68772621-Affitto-Quadrilocale-via-Valtellina-48-Milano.html,"via Valtellina, 48, Farini, Milano",1500,110
40,https://www.immobiliare.it/68772615-Affitto-Appartamento-piazza-Venino-4-Milano.html,"piazza Venino, 4, San Vittore, Milano",1800,130
41,https://www.immobiliare.it/68772617-Affitto-Appartamento-via-Anco-Marzio-4-Milano.html,"via Anco Marzio, 4, San Vittore, Milano",1800,135
42,https://www.immobiliare.it/68772603-Affitto-Appartamento-piazza-Cinque-Giornate-1-A-Milano.html,"piazza Cinque Giornate, 1-A, Guastalla, Milano",2420,140
43,https://www.immobiliare.it/68774143-Affitto-Monolocale-largo-Giambellino-Milano.html,"largo Giambellino, Giambellino, Milano",560,45
44,https://www.immobiliare.it/68772645-Affitto-Monolocale-via-Scipione-Pistrucci-15-Milano.html,"via Scipione Pistrucci, 15, Martini - Insubria, Milano",650,35
45,https://www.immobiliare.it/68774755-Affitto-Bilocale-viale-Bligny-64-Milano.html,"viale Bligny 64, Bocconi, Milano",970,50
46,https://www.immobiliare.it/68764439-Affitto-Bilocale-via-Carpaccio-Milano.html,"via Carpaccio, Città Studi, Milano",2100,65
47,https://www.immobiliare.it/68767387-Affitto-Trilocale-piazza-dei-Daini-4-Milano.html,"piazza dei Daini 4, Bicocca, Milano",1500,123
48,https://www.immobiliare.it/68767185-Affitto-Trilocale-viale-Monza-10-Milano.html,"viale Monza 10, Pasteur, Milano",1100,80
49,https://www.immobiliare.it/68765063-Affitto-Bilocale-buono-stato-secondo-piano-Milano.html,"buono stato, secondo piano, Plebisciti - Susa, Milano",1000,50
50,https://www.immobiliare.it/68769267-Affitto-Bilocale-via-Villapizzone-8-Milano.html,"via Villapizzone 8, Bovisa, Milano",750,52
51,https://www.immobiliare.it/68769795-Affitto-Monolocale-via-Negroli-44-Milano.html,"via Negroli 44, Agonne - Corsica, Milano",630,45
52,https://www.immobiliare.it/68767595-Affitto-Bilocale-via-Luigi-Manzotti-Milano.html,"via Luigi Manzotti, Dergano, Milano",700,50
53,https://www.immobiliare.it/68767525-Affitto-Monolocale-corso-Lodi-Milano.html,"corso Lodi, Lodi - Brenta, Milano",700,45
54,https://www.immobiliare.it/68769321-Affitto-Trilocale-piazza-Firenze-Milano.html,"piazza Firenze, Sempione, Milano",1200,75
55,https://www.immobiliare.it/68768591-Affitto-Bilocale-via-Luigi-Manzotti-Milano.html,"via Luigi Manzotti, Dergano, Milano",700,50
56,https://www.immobiliare.it/68768733-Affitto-Bilocale-via-Giulio-Alfredo-Maccacaro-Milano.html,"via Giulio Alfredo Maccacaro, Gratosoglio, Milano",750,60
57,https://www.immobiliare.it/68769283-Affitto-Bilocale-corso-Buenos-Aires-Milano.html,"corso Buenos Aires, Porta Venezia, Milano",1450,90
58,https://www.immobiliare.it/68748011-Affitto-Bilocale-via-Cola-di-Rienzo-5-Milano.html,"via Cola di Rienzo 5, Solari, Milano",1300,100
59,https://www.immobiliare.it/68755067-Affitto-Quadrilocale-via-Simone-d-Orsenigo-Milano.html,"via Simone d'Orsenigo, Cadore, Milano",2800,168
60,https://www.immobiliare.it/68755067-Affitto-Quadrilocale-via-Simone-d-Orsenigo-Milano.html,"via Simone d'Orsenigo, Cadore, Milano",2800,168
61,https://www.immobiliare.it/68763783-Affitto-Trilocale-via-Carlo-Goldoni-Milano.html,"via Carlo Goldoni, Indipendenza, Milano",1200,90
62,https://www.immobiliare.it/68769405-Affitto-Monolocale-via-PORPORA-Milano.html,"via PORPORA, Casoretto, Milano",850,35
63,https://www.immobiliare.it/68769355-Affitto-Bilocale-Mm-Crescenzago-Milano.html,"Mm Crescenzago, Milano",1200,66
64,https://www.immobiliare.it/68760517-Affitto-Monolocale-via-Giulio-e-Corrado-Venini-54-Milano.html,"via Giulio e Corrado Venini 54, Pasteur, Milano",850,50
65,https://www.immobiliare.it/68761695-Affitto-Monolocale-piazza-della-Trivulziana-3-Milano.html,"piazza della Trivulziana 3, Bicocca, Milano",700,50
66,https://www.immobiliare.it/68762905-Affitto-Monolocale-via-Lanfranco-della-Pila-1-Milano.html,"via Lanfranco della Pila, 1, Niguarda, Milano",550,28
67,https://www.immobiliare.it/68756549-Affitto-Bilocale-corso-Porta-Romana-Milano.html,"corso Porta Romana, Quadronno - Crocetta, Milano",2300,50
68,https://www.immobiliare.it/68756561-Affitto-Monolocale-via-Buonarroti-Milano.html,"via Buonarroti, Vercelli - Wagner, Milano",1600,35
69,https://www.immobiliare.it/68756581-Affitto-Bilocale-corso-Porta-Romana-Milano.html,"corso Porta Romana, Quadronno - Crocetta, Milano",2200,40
70,https://www.immobiliare.it/68756575-Affitto-Monolocale-via-Bianca-di-Savoia-Milano.html,"via Bianca di Savoia, Quadronno - Crocetta, Milano",2400,30
71,https://www.immobiliare.it/68756565-Affitto-Bilocale-via-Bianca-di-Savoia-Milano.html,"via Bianca di Savoia, Quadronno - Crocetta, Milano",2600,50
72,https://www.immobiliare.it/68756543-Affitto-Monolocale-via-Bianca-di-Savoia-Milano.html,"via Bianca di Savoia, Quadronno - Crocetta, Milano",2200,24
73,https://www.immobiliare.it/68758639-Affitto-Monolocale-via-Romolo-Gessi-Milano.html,"via Romolo Gessi, Washington, Milano",560,30
74,https://www.immobiliare.it/68763025-Affitto-Bilocale-via-Salasco-Milano.html,"via Salasco, Bocconi, Milano",890,45
75,https://www.immobiliare.it/68758251-Affitto-Bilocale-piazza-Risorgimento-3-Milano.html,"piazza Risorgimento, 3, Piave - Tricolore, Milano",1300,60
76,https://www.immobiliare.it/68760655-Affitto-Bilocale-via-FOPPA-Milano.html,"via FOPPA, Solari, Milano",950,70
77,https://www.immobiliare.it/68761877-Affitto-Trilocale-via-Giuseppe-Ripamonti-199-Milano.html,"via Giuseppe Ripamonti 199, Vigentino - Fatima, Milano",1100,77
78,https://www.immobiliare.it/68758201-Affitto-Appartamento-ottimo-stato-piano-rialzato-Milano.html,"ottimo stato, piano rialzato, San Siro, Milano",3750,300
79,https://www.immobiliare.it/68761353-Affitto-Bilocale-viale-Mugello-Milano.html,"viale Mugello, Porta Vittoria, Milano",650,50
80,https://www.immobiliare.it/68761489-Affitto-Monolocale-via-dei-Tulipani-Milano.html,"via dei Tulipani, Giambellino, Milano",650,35
81,https://www.immobiliare.it/68761273-Affitto-Monolocale-via-Passo-Buole-Milano.html,"via Passo Buole, Porta Romana - Medaglie d'Oro, Milano",500,20
